level,from_soc,to_soc,tau_chg_minutes
2,0,10,30.0
2,0,20,60.0
2,0,30,90.0
2,0,40,120.0
2,0,50,150.0
2,0,60,180.0
2,0,70,210.0
2,0,80,240.0
2,0,90,270.0
2,0,100,300.0
2,10,20,30.0
2,10,30,60.0
2,10,40,90.0
2,10,50,120.0
2,10,60,150.0
2,10,70,180.0
2,10,80,210.0
2,10,90,240.0
2,10,100,270.0
2,20,30,30.0
2,20,40,60.0
2,20,50,90.0
2,20,60,120.0
2,20,70,150.0
2,20,80,180.0
2,20,90,210.0
2,20,100,240.0
2,30,40,30.0
2,30,50,60.0
2,30,60,90.0
2,30,70,120.0
2,30,80,150.0
2,30,90,180.0
2,30,100,210.0
2,40,50,30.0
2,40,60,60.0
2,40,70,90.0
2,40,80,120.0
2,40,90,150.0
2,40,100,180.0
2,50,60,30.0
2,50,70,60.0
2,50,80,90.0
2,50,90,120.0
2,50,100,150.0
2,60,70,30.0
2,60,80,60.0
2,60,90,90.0
2,60,100,120.0
2,70,80,30.0
2,70,90,60.0
2,70,100,90.0
2,80,90,30.0
2,80,100,60.0
2,90,100,30.0
3,0,10,6.0
3,0,20,12.0
3,0,30,18.0
3,0,40,24.0
3,0,50,30.0
3,0,60,36.0
3,0,70,42.0
3,0,80,48.0
3,0,90,54.0
3,0,100,60.0
3,10,20,6.0
3,10,30,12.0
3,10,40,18.0
3,10,50,24.0
3,10,60,30.0
3,10,70,36.0
3,10,80,42.0
3,10,90,48.0
3,10,100,54.0
3,20,30,6.0
3,20,40,12.0
3,20,50,18.0
3,20,60,24.0
3,20,70,30.0
3,20,80,36.0
3,20,90,42.0
3,20,100,48.0
3,30,40,6.0
3,30,50,12.0
3,30,60,18.0
3,30,70,24.0
3,30,80,30.0
3,30,90,36.0
3,30,100,42.0
3,40,50,6.0
3,40,60,12.0
3,40,70,18.0
3,40,80,24.0
3,40,90,30.0
3,40,100,36.0
3,50,60,6.0
3,50,70,12.0
3,50,80,18.0
3,50,90,24.0
3,50,100,30.0
3,60,70,6.0
3,60,80,12.0
3,60,90,18.0
3,60,100,24.0
3,70,80,6.0
3,70,90,12.0
3,70,100,18.0
3,80,90,6.0
3,80,100,12.0
3,90,100,6.0

